title,channelId,channelTitle,description,videoId,publishedAt
"""Riyadh planned to assassinate Iran's General Soleimani""",UCaFxVc4xHOea6s5CO0eBxIA,PressTV,"A US media report says top Saudi officials in 20-17 discussed plans to assassinate commander of the Quds Force of Iran's Islamic Revolution Guards Corps, ...",kE-BUQyS8zY,2018-11-12T09:22:13.000Z
🇺🇸 🇮🇷 From rhetoric to reality: The return of US sanctions on Iran | The Listening Post (Lead),UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,"Earlier this month, US President Donald Trump teased his 55 million Twitter followers about his latest action against Iran in the style of a Hollywood movie poster ...",WTR-_j87XXI,2018-11-12T07:35:08.000Z
"Iran had ""credible info"" on Saudi's assassination plots",UCaFxVc4xHOea6s5CO0eBxIA,PressTV,"Iran's Foreign Minister, Mohammad Javad Zarif, says Tehran had credible information about Saudi Arabia's plots to assassinate senior Iranian officials including ...",XkadKw3N3fE,2018-11-13T11:13:58.000Z
David Petraeus on Iran sanctions and helping veterans find jobs,UCrp_UI8XtuYfpiqluWLD7Lw,CNBC Television,"David Petraeus, KKR Global Institute chair and retired four-star Army general joins 'Squawk Box' to discuss how he's helping vets find jobs, Iran oil sanctions ...",RILhIjjTbEw,2018-11-12T13:19:36.000Z
Weekly Update --- President Trump’s Iran Policy – Is It ‘Normal’?,UCkJ1N-7g9Q6n7KnriGit-Ig,RonPaulLibertyReport,Pompeo comes clean on US policy toward Iran.,pM-7vssczKY,2018-11-13T00:34:35.000Z
Iran Again Found 'In Compliance'...Yet Bolton Vows To 'Squeeze Hard!',UCkJ1N-7g9Q6n7KnriGit-Ig,RonPaulLibertyReport,The International Atomic Energy Agency has again found Iran in compliance with the JCPOA nuclear deal - despite the US re-imposition of sanctions. Trump's ...,d9i_IWSKdyk,2018-11-13T17:38:01.000Z
Les Etats-Unis enjoignent à l’Iran de «se comporter comme un pays normal». C’est quoi un pays normal,UCUYIUu9W_Ld9DO73VmVw0hg,Nouvelles VN7,Les Etats-Unis enjoignent à l'Iran de «se comporter comme un pays normal». C'est quoi un pays normal?/Nouvelles VN7 ▻ Puisque le diktat vient de ...,B-IFcwX4LWI,2018-11-13T13:11:14.000Z
🇺🇸 🇮🇷 Can Iran survive US sanctions? | Counting the Cost,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,"As of this week, Iran is effectively shut out from the dollar-dominated financial system, as the United States' sanctions have been reimposed. The sanctions are ...",41QDz8o328U,2018-11-11T13:06:31.000Z
Forget Iran. Here's the REAL Enemy and the True Danger,UCnJjRjmthxPCoQaAL44tR6g,Alessio Rastani,Some people in the media want you to believe that Iran is your enemy. Is this really true? In this video we reveal who is the shocking real enemy... the true ...,YblBALV_LCw,2018-11-10T09:38:16.000Z
Su-30 Coming to Iran? Elite Russian Fighters in Iranian Hands Set be a defense for the Middle East,UCdw0ZOBXEuhyszPNsGWaGMQ,Design Tech & Defense,"iran has, despite its lack of air superiority capabilities, continued to establish itself as a major regional-power, and the air-forces of Israel, Saudi Arabia and other ...",3N_Cq64_sEo,2018-11-11T18:38:01.000Z
Railway minister Sheikh Rasheed meets Iran's ambassador Mehdi Hunar Dost,UCElJZvY_RVra6qjD8WSQYog,Public News,"Railway minister Sheikh Rasheed meets Iran's ambassador Mehdi Hunar Dost, exchanged views over up-gradation of Quetta to Taftan section Public TV ...",JQMepcwXi-k,2018-11-13T08:25:40.000Z
The Caroline Glick & Avi Abelow Show - Gaza!!! & Iran!,UClpanKdEycHdJhoO0GPzA6Q,Avi Abelow,MUST SEE analysis on the Gaza situation! Why has Israel still not gone on the offensive to protect the South? Who is really behind the terror offensive in Gaza?,oi4slyrxu2k,2018-11-13T11:54:00.000Z
Does Arab world support US sanctions on Iran?,UCaFxVc4xHOea6s5CO0eBxIA,PressTV,The resumption of US sanctions on Iran which began on Monday have provoked a spectrum of views in the Middle East. Here are some interviews with Arab ...,mkNh9wGPwkQ,2018-11-11T13:23:24.000Z
