,id,likeCount,textDisplay,videoId,authorDisplayName,authorChannelId,publishedAt
0,Ugzi-DlufUPIiDtBHt94AaABAg,0,I had to stop at the 9 minute 34 second mark. Anyone else notice that Marco Rubio never answers the questions he is being asked?,Un3OhYs-tCE,David Kwon,UCK5UbViW9PwIHKt9U1O7T9Q,2018-11-25T05:49:59.000Z
1,UgzRoSnDLwTMeF8AyW94AaABAg,0,I Love USA,Un3OhYs-tCE,Deepak Bhandari,UCzgvfZsK0Q6N-2l3R4oZcOQ,2018-11-22T14:59:24.000Z
2,UgzFHKKCTauXV-3zQ3p4AaABAg,0,Marco Rubio really sucks,Un3OhYs-tCE,Peter Tan,UCFfJDbKsq7K_HadOj5jY_dg,2018-11-20T03:29:59.000Z
3,UgyRUw0wxExpeYivxlV4AaABAg,0,I watch this high ALL of the time.  Wonderful!  I think somewhere around the 3hr14min mark is when the first thing was said.,Un3OhYs-tCE,T.J. Kolberg,UCNlUO8cyG6x1nmNrwVpc1hg,2018-11-15T18:39:53.000Z
4,UgwvJma1HMTraTODmJF4AaABAg,1,"Ted Cruz is slicker than grease, yuall<br /><br />Trump 2016 for president<br /><br />Thumbs up if u agree",Un3OhYs-tCE,collj86,UCO3s_ZEbeDv9sn87FAfglVQ,2018-11-15T16:38:32.000Z
5,UgzboqOCBhpfL7HEvEJ4AaABAg,1,"Say what you want about Donald Trump, but he has funny facial expressions.",Un3OhYs-tCE,I'm a Potato,UCsA3ojXq_c8FDvrKBkb41dQ,2018-10-27T10:32:08.000Z
6,UgwSM7qYhabMVp9_RKF4AaABAg,0,Carson was pretty weak in voice and speech,Un3OhYs-tCE,Nathan Madden,UCwVfAxmDMFngXuaw3HdTiLg,2018-10-17T19:24:46.000Z
7,Ugy_29sgYgkDxkF1G_h4AaABAg,0,"<a href=""https://www.youtube.com/watch?v=Un3OhYs-tCE&amp;t=30m00s"">30:00</a> Trump show starts, and Jeb&#39;s career goes down the drain 😂",Un3OhYs-tCE,Chinamoon,UCNuhmEJs5Jdx9HfBhqRWjsA,2018-10-06T14:11:58.000Z
8,Ugyhx3t0j0waNMWzEZZ4AaABAg,0,"<a href=""https://www.youtube.com/watch?v=Un3OhYs-tCE&amp;t=12m13s"">12:13</a>...two kids playing with their iPampers...in my day we CARED about our country and were PROUD to be AMERICSN..!!",Un3OhYs-tCE,Original Name,UCSvDzzOS960xw-O8EK-2Lhg,2018-09-21T00:41:16.000Z
9,UgzF-ar4z-ovB59131l4AaABAg,3,"Looking back on this, this whole election was an absolute riot 😂",Un3OhYs-tCE,Chxrlie,UCbZoqwT26qbfA-Nj6RLsrpA,2018-09-06T22:18:32.000Z
10,Ugz1Vz3EymHtmNmsktp4AaABAg,0,FACTS : BUSH and OBAMA Use the Same VOICE 👊🏻👊🏻,Un3OhYs-tCE,Siolosega Soliai,UCb5zPGCPyxmah8SKB8pcQ_A,2018-08-31T10:18:57.000Z
